ligand,replicate,n_variants,mean_fitness,median_fitness,sd_fitness
Buprenorphine,1,10146,-0.12218342851226066,-0.13775510204081653,0.24148987056066432
Buprenorphine,2,10116,0.060270082348623404,0.055903729298224736,0.32532382299741686
Buprenorphine,3,10124,0.056755676852819195,0.06588693115295308,0.29921335175106517
Buprenorphine,combined,10162,0.003471083795914103,-0.007547623633366474,0.20237574326468044
C6guano,1,10147,0.02382744213631349,-0.0019607843137254832,0.2546162292912643
C6guano,2,10138,-0.05730257038020969,-0.08464333878954466,0.30148415768184456
C6guano,3,10119,-0.0899454625288756,-0.10695389266817834,0.33976850992525914
C6guano,combined,10163,-0.035757798466206,-0.06815920398009956,0.2295564222723637
DAMGO,1,10139,-0.06952701486307626,-0.09386281588447654,0.25380962375208105
DAMGO,2,10114,-0.217537997351754,-0.25124769493647325,0.3576354781596399
DAMGO,3,10132,0.03675005237569854,0.022038916289374377,0.3345143897504307
DAMGO,combined,10158,-0.07041513027349246,-0.10797113111810508,0.2430241993724315
FSK,1,10151,-0.014021520447112534,-0.012820512820512775,0.17781468177202275
FSK,2,10120,0.14936513048632932,0.15198610898700804,0.33384774733094924
FSK,3,10117,-0.07022068485230003,-0.06825396825396846,0.3015972521112024
FSK,combined,10164,0.010291498525635268,0.013259648310403271,0.18482101782588312
Morphine,1,10142,-0.06427003631585346,-0.09209891894635325,0.2537372161482492
Morphine,2,10146,-0.0637552564426584,-0.08598505500522813,0.288767181036148
Morphine,3,10132,-0.017259139991008716,-0.03568750954128341,0.3061604094119986
Morphine,combined,10164,-0.04843291130346728,-0.07906386625032091,0.2231228035336475
Naloxone,1,10141,0.017142251708491478,0.019166666666666554,0.19493214286544489
Naloxone,2,10132,0.05232046777824279,0.05424106716878385,0.2629141776450776
Naloxone,3,10114,0.11715888133288459,0.12225379699184269,0.3304699635001909
Naloxone,combined,10162,0.05812701396118669,0.05976891622815961,0.17975583654366728
PZM21,1,10149,-0.06368076612148775,-0.0932787591555364,0.24871561962668817
PZM21,2,10130,-0.020154445716049584,-0.04859362299676784,0.3381098916548073
PZM21,3,10137,-0.006177444708461725,-0.03442879499217533,0.31271190509686103
PZM21,combined,10170,-0.02545528991133267,-0.06678124714671685,0.24298014864496145
TRV130,1,10142,-0.06185289667065683,-0.09048835650862785,0.28224138380575936
TRV130,2,10127,0.08004284970113477,0.05758880516684606,0.29860110629384357
TRV130,3,10125,0.07281999424648619,0.06371814092953532,0.2632178250592892
TRV130,combined,10161,0.028441612622690904,-0.0023661270236612353,0.21338456828772573
carfentanil,1,10144,-0.06016551074319137,-0.08128336073249787,0.24505241206026387
carfentanil,2,10124,0.02792602850094976,0.0014792512679295822,0.3497083713000377
carfentanil,3,10116,-0.15614789691390432,-0.17716087366111055,0.31860999877068263
carfentanil,combined,10163,-0.07076029841357709,-0.09803043867502259,0.2274712463565121
